subject_id,rt,pair,target_index,t,is_predictable,subject_condition
119,1007,1,1,1,0,3
119,1406,1,2,1,1,3
119,1107,1,1,2,0,3
119,1090,1,2,2,1,3
119,914,1,1,3,0,3
119,1165,1,1,4,0,3
119,1173,1,2,4,1,3
119,997,1,1,5,0,3
119,1342,1,2,5,1,3
119,949,1,1,6,0,3
119,1012,1,1,7,0,3
119,1504,1,2,7,1,3
119,1104,1,1,8,0,3
119,1060,1,2,8,1,3
119,1040,1,1,9,0,3
119,1362,1,2,9,1,3
119,1176,1,1,10,0,3
119,1211,1,2,10,1,3
119,1099,1,1,11,0,3
119,1077,1,2,11,1,3
119,1077,1,1,12,0,3
119,1298,1,2,12,1,3
119,1195,1,1,13,0,3
119,1221,1,2,13,1,3
119,938,1,1,14,0,3
119,1301,1,2,14,1,3
119,957,1,1,15,0,3
119,1049,1,2,15,1,3
119,935,1,1,16,0,3
119,1130,1,2,16,1,3
119,971,1,1,17,0,3
119,1311,1,2,17,1,3
119,860,1,1,18,0,3
119,935,1,2,18,1,3
119,932,1,1,19,0,3
119,709,1,2,19,1,3
119,874,1,1,20,0,3
119,1269,1,2,20,1,3
119,968,1,1,21,0,3
119,1089,1,2,21,1,3
119,903,1,1,22,0,3
119,1025,1,2,22,1,3
119,1020,1,1,23,0,3
119,1133,1,2,23,1,3
119,1104,1,1,24,0,3
119,1016,1,2,24,1,3
119,999,1,1,25,0,3
119,1259,1,2,25,1,3
119,971,1,1,26,0,3
119,1243,1,2,26,1,3
119,951,1,1,27,0,3
119,998,1,2,27,1,3
119,954,1,1,28,0,3
119,1245,1,2,28,1,3
119,902,1,1,29,0,3
119,960,1,2,29,1,3
119,964,1,1,30,0,3
119,756,1,2,30,1,3
119,1192,1,1,31,0,3
119,922,1,2,31,1,3
119,1395,1,2,32,1,3
119,889,1,1,33,0,3
119,1007,1,2,33,1,3
119,926,1,2,34,1,3
119,1081,1,1,35,0,3
119,1028,1,2,35,1,3
119,1031,1,1,36,0,3
119,1193,1,2,36,1,3
119,1429,1,1,37,0,3
119,1140,1,2,37,1,3
119,1020,1,1,38,0,3
119,900,1,1,39,0,3
119,1045,1,2,39,1,3
119,893,1,1,40,0,3
119,1237,1,2,40,1,3
119,933,1,1,41,0,3
119,1576,1,2,41,1,3
119,984,1,1,42,0,3
119,928,1,2,42,1,3
119,1076,1,1,43,0,3
119,1003,1,2,43,1,3
119,1122,1,1,44,0,3
119,820,1,2,44,1,3
119,959,1,1,45,0,3
119,1361,1,2,45,1,3
119,1087,1,1,46,0,3
119,1134,1,2,46,1,3
119,942,1,1,47,0,3
119,1481,1,2,47,1,3
119,982,1,1,48,0,3
119,809,1,2,48,1,3
119,816,1,2,49,1,3
119,1069,1,1,50,0,3
119,1485,1,2,50,1,3
119,1018,1,1,51,0,3
119,1189,1,2,51,1,3
119,968,1,1,52,0,3
119,886,1,2,52,1,3
119,1040,1,1,53,0,3
119,1212,1,2,53,1,3
119,1050,1,1,54,0,3
119,1229,1,2,54,1,3
119,1260,1,1,55,0,3
119,1256,1,2,55,1,3
119,1074,1,1,56,0,3
119,1159,1,2,56,1,3
119,838,1,1,57,0,3
119,816,1,2,57,1,3
119,1108,1,1,58,0,3
119,1319,1,2,58,1,3
119,1245,1,1,59,0,3
119,1358,1,2,59,1,3
119,994,1,1,60,0,3
119,1220,1,2,60,1,3
119,1024,1,1,61,0,3
119,1048,1,2,61,1,3
119,1170,1,1,62,0,3
119,1141,1,2,62,1,3
119,940,1,1,63,0,3
119,1069,1,2,63,1,3
119,1011,1,1,64,0,3
119,1205,1,2,64,1,3
119,1019,1,1,65,0,3
119,1142,1,2,65,1,3
119,928,1,1,66,0,3
119,1131,1,2,66,1,3
119,764,1,1,67,0,3
119,1198,1,2,67,1,3
119,1648,1,1,68,0,3
119,1297,1,2,68,1,3
119,1105,1,1,69,0,3
119,1169,1,2,69,1,3
119,857,1,1,70,0,3
119,1547,1,2,70,1,3
119,1144,1,1,71,0,3
119,1586,1,2,71,1,3
119,1229,1,1,72,0,3
119,1510,1,2,72,1,3
147,986,1,1,1,0,3
147,1356,1,2,1,1,3
147,984,1,1,2,0,3
147,1064,1,2,2,1,3
147,1042,1,1,3,0,3
147,1206,1,2,3,1,3
147,994,1,1,4,0,3
147,1148,1,2,4,1,3
147,921,1,1,5,0,3
147,979,1,2,5,1,3
147,863,1,1,6,0,3
147,1104,1,2,6,1,3
147,849,1,1,7,0,3
147,940,1,2,7,1,3
147,891,1,1,8,0,3
147,924,1,2,8,1,3
147,842,1,1,9,0,3
147,1148,1,2,9,1,3
147,897,1,1,10,0,3
147,1052,1,2,10,1,3
147,885,1,1,11,0,3
147,840,1,2,11,1,3
147,899,1,1,12,0,3
147,1206,1,2,12,1,3
147,1126,1,1,13,0,3
147,938,1,2,13,1,3
147,882,1,1,14,0,3
147,972,1,2,14,1,3
147,909,1,1,15,0,3
147,967,1,2,15,1,3
147,948,1,1,16,0,3
147,887,1,2,16,1,3
147,979,1,1,17,0,3
147,988,1,2,17,1,3
147,872,1,1,18,0,3
147,946,1,2,18,1,3
147,827,1,1,19,0,3
147,1044,1,2,19,1,3
147,889,1,1,20,0,3
147,1036,1,2,20,1,3
147,911,1,1,21,0,3
147,1011,1,2,21,1,3
147,926,1,1,22,0,3
147,1283,1,2,22,1,3
147,1016,1,1,23,0,3
147,955,1,2,23,1,3
147,840,1,1,24,0,3
147,1218,1,2,24,1,3
147,879,1,1,25,0,3
147,1057,1,2,25,1,3
147,798,1,1,26,0,3
147,942,1,2,26,1,3
147,907,1,1,27,0,3
147,941,1,2,27,1,3
147,922,1,1,28,0,3
147,969,1,2,28,1,3
147,902,1,1,29,0,3
147,906,1,2,29,1,3
147,818,1,1,30,0,3
147,963,1,2,30,1,3
147,887,1,1,31,0,3
147,860,1,2,31,1,3
147,935,1,1,32,0,3
147,970,1,2,32,1,3
147,809,1,1,33,0,3
147,1058,1,2,33,1,3
147,907,1,1,34,0,3
147,822,1,2,34,1,3
147,882,1,1,35,0,3
147,851,1,2,35,1,3
147,925,1,1,36,0,3
147,1093,1,2,36,1,3
147,956,1,1,37,0,3
147,934,1,2,37,1,3
147,899,1,1,38,0,3
147,1165,1,2,38,1,3
147,904,1,1,39,0,3
147,900,1,2,39,1,3
147,888,1,1,40,0,3
147,946,1,2,40,1,3
147,825,1,1,41,0,3
147,980,1,2,41,1,3
147,931,1,2,42,1,3
147,964,1,1,43,0,3
147,1095,1,2,43,1,3
147,884,1,1,44,0,3
147,1006,1,2,44,1,3
147,978,1,1,45,0,3
147,920,1,2,45,1,3
147,911,1,1,46,0,3
147,1072,1,2,46,1,3
147,1042,1,2,47,1,3
147,910,1,1,48,0,3
147,897,1,2,48,1,3
147,967,1,2,49,1,3
147,865,1,1,50,0,3
147,940,1,2,50,1,3
147,1062,1,1,51,0,3
147,871,1,2,51,1,3
147,885,1,1,52,0,3
147,832,1,2,52,1,3
147,869,1,1,53,0,3
147,865,1,2,53,1,3
147,835,1,1,54,0,3
147,987,1,2,54,1,3
147,858,1,1,55,0,3
147,982,1,2,55,1,3
147,807,1,1,56,0,3
147,1065,1,2,56,1,3
147,886,1,1,57,0,3
147,888,1,2,57,1,3
147,857,1,1,58,0,3
147,1019,1,2,58,1,3
147,1194,1,1,59,0,3
147,1100,1,2,59,1,3
147,881,1,1,60,0,3
147,876,1,2,60,1,3
147,833,1,1,61,0,3
147,1088,1,2,61,1,3
147,854,1,1,62,0,3
147,1042,1,2,62,1,3
147,888,1,1,63,0,3
147,1265,1,2,63,1,3
147,792,1,1,64,0,3
147,786,1,2,64,1,3
147,777,1,1,65,0,3
147,971,1,2,65,1,3
147,801,1,1,66,0,3
147,866,1,2,66,1,3
147,1013,1,1,67,0,3
147,939,1,2,67,1,3
147,866,1,1,68,0,3
147,950,1,2,68,1,3
147,837,1,1,69,0,3
147,841,1,2,69,1,3
147,860,1,1,70,0,3
147,886,1,2,70,1,3
147,935,1,1,71,0,3
147,890,1,2,71,1,3
147,872,1,1,72,0,3
147,1865,1,2,72,1,3
55,1151,1,1,1,0,1
55,1361,1,2,1,1,1
55,1184,1,1,2,0,1
55,1269,1,2,2,1,1
55,1069,1,1,3,0,1
55,1350,1,2,3,1,1
55,1092,1,1,4,0,1
55,1177,1,2,4,1,1
55,1095,1,1,5,0,1
55,1405,1,2,5,1,1
55,1111,1,1,6,0,1
55,1139,1,2,6,1,1
55,1161,1,1,7,0,1
55,1075,1,2,7,1,1
55,1049,1,1,8,0,1
55,1005,1,2,8,1,1
55,1791,1,1,9,0,1
55,1157,1,2,9,1,1
55,1069,1,1,10,0,1
55,1355,1,2,10,1,1
55,1135,1,1,11,0,1
55,1410,1,2,11,1,1
55,1159,1,1,12,0,1
55,1221,1,2,12,1,1
55,1047,1,1,13,0,1
55,1101,1,2,13,1,1
55,1117,1,1,14,0,1
55,1050,1,1,15,0,1
55,1904,1,2,15,1,1
55,1031,1,1,16,0,1
55,1726,1,1,17,0,1
55,1225,1,2,17,1,1
55,1085,1,1,18,0,1
55,1259,1,2,18,1,1
55,1228,1,1,19,0,1
55,1240,1,2,19,1,1
55,1682,1,1,20,0,1
55,1537,1,2,20,1,1
55,1120,1,1,21,0,1
55,1691,1,2,21,1,1
55,1172,1,1,22,0,1
55,1084,1,2,22,1,1
55,1173,1,1,23,0,1
55,1237,1,2,23,1,1
55,1090,1,1,24,0,1
55,1208,1,2,24,1,1
55,1281,1,1,25,0,1
55,1160,1,2,25,1,1
55,1245,1,2,26,1,1
55,1537,1,1,27,0,1
55,1779,1,2,27,1,1
55,1320,1,1,28,0,1
55,1410,1,2,28,1,1
55,1562,1,1,29,0,1
55,1122,1,2,29,1,1
55,1334,1,1,30,0,1
55,1235,1,2,30,1,1
55,1180,1,1,31,0,1
55,1126,1,2,31,1,1
55,1112,1,1,32,0,1
55,1335,1,2,32,1,1
55,1096,1,1,33,0,1
55,1220,1,2,33,1,1
55,1709,1,1,34,0,1
55,1213,1,2,34,1,1
55,972,1,1,35,0,1
55,1380,1,2,35,1,1
55,995,1,1,36,0,1
55,1368,1,2,36,1,1
55,1093,1,1,37,0,1
55,1385,1,2,37,1,1
55,1096,1,1,38,0,1
55,1166,1,2,38,1,1
